n_trades,mean_ret_pct,win_rate,t_stat,p_value,sharpe,cagr_pct,max_dd_pct,n_stocks,sub_periods,id,family,rules,hold
57668,-0.013,49.98,-1.521,0.0640943584126482,-0.371,-9.11,-68.68,130,"{'2014-2017': -0.053, '2018-2021': -0.199, '2022-2024': -0.896}",H0000,A_single,"[('rsi_2', '<', 5)]",1
50031,0.0257,51.18,2.114,0.017277409442997074,0.474,10.02,-66.11,130,"{'2014-2017': 0.452, '2018-2021': 0.734, '2022-2024': 0.281}",H0001,A_single,"[('rsi_2', '<', 5)]",2
43794,0.0878,51.6,5.533,1.584295589074047e-08,0.815,25.39,-71.76,130,"{'2014-2017': 0.888, '2018-2021': 0.968, '2022-2024': 0.586}",H0002,A_single,"[('rsi_2', '<', 5)]",3
61583,-0.0148,50.01,-1.797,0.03618720430135514,-0.464,-10.46,-71.78,130,"{'2014-2017': -0.338, '2018-2021': -0.16, '2022-2024': -1.013}",H0003,A_single,"[('rsi_2', '<', 10)]",1
52828,0.0231,51.26,1.956,0.025252941272805345,0.496,10.57,-61.53,130,"{'2014-2017': 0.341, '2018-2021': 0.867, '2022-2024': 0.286}",H0004,A_single,"[('rsi_2', '<', 10)]",2
45906,0.0824,51.65,5.369,3.983200823178156e-08,0.829,25.66,-75.76,130,"{'2014-2017': 0.848, '2018-2021': 0.981, '2022-2024': 0.689}",H0005,A_single,"[('rsi_2', '<', 10)]",3
65671,-0.0108,49.96,-1.36,0.08693974181307293,-0.416,-9.51,-68.74,130,"{'2014-2017': -0.266, '2018-2021': -0.096, '2022-2024': -1.067}",H0006,A_single,"[('rsi_2', '<', 15)]",1
55783,0.0228,51.23,1.992,0.023176832943218244,0.445,8.95,-61.31,130,"{'2014-2017': 0.34, '2018-2021': 0.776, '2022-2024': 0.178}",H0007,A_single,"[('rsi_2', '<', 15)]",2
48055,0.0761,51.58,5.114,1.5794253998326218e-07,0.735,21.47,-76.51,130,"{'2014-2017': 0.803, '2018-2021': 0.994, '2022-2024': 0.333}",H0008,A_single,"[('rsi_2', '<', 15)]",3
70043,-0.01,49.9,-1.305,0.09589528916804717,-0.51,-11.78,-76.15,130,"{'2014-2017': -0.391, '2018-2021': -0.323, '2022-2024': -0.98}",H0009,A_single,"[('rsi_2', '<', 20)]",1
